title,description
NYC BioTech Tax Credit,The Biotechnology Tax Credit helps investors and owners of qualified emerging technology companies (QETCs) focused on biotechnology to claim a tax credit for certain costs in New York City. These costs include:
NYC Clean Trucks Program,The NYC Clean Trucks Program is a rebate incentive funding program. It wascreated to reduce diesel exhaust emissions by replacing older diesel trucks.
NYCIDA Garment Center Program,The Garment Center Program is run by the New York City Industrial Development Agency (NYCIDA). It helps property owners who rent space to fashion manufacturers in the Garment District. The program gives real estate tax breaks.
NYS Thruway Commercial Charge Account Program,The Commercial Charge Account Program helps companies pay for tolls incurred in their business. The New York State Thruway Authority runs this program.
NYSERDA Agriculture Energy Audit Program,"New York State Energy Research and Development Authority (NYSERDA) helps agriculture businesses save energy. They offer energy checks for such businesses. Urban agriculture businesses such as greenhouses, vegetable growers and poultry producers can get help."
NYSERDA Commercial New Construction Program,The New York State Energy Research and Development Authority (NYSERDA) has a program called the Commercial New Construction Program (CNCP). This program helps businesses make new or renovated buildings more energy efficient. It offers technical support to building design teams and also gives financial incentives to building owners.
NYSERDA FlexTech Program,"The New York State Energy Research and Development Authority (NYSERDA) FlexTech Program helps businesses in New York State make informed energy decisions. It gives custom advice to many types of organizations. These include commercial, industrial, government and not-for-profit groups."
NYSERDA Industrial and Process Efficiency Program,The Industrial and Process Efficiency Program helps manufacturers and data centers save energy.
NYSERDA On the Job Training,"New York State Energy Research and Development Authority (NYSERDA) helps clean energy businesses hire new workers. Businesses can get up to $100,000. NYSERDA will pay 50% of a new worker's wages for up to 16 weeks. For some workers, NYSERDA will pay for up to 24 weeks."
NYSERDA Real-Time Energy Management Program,The New York State Energy Research and Development Authority (NYSERDA) runs the Real-Time Energy Management (RTEM) program.
NYSERDA Small Commercial Energy Assessments,The New York State Energy Research and Development Authority (NYSERDA) gives free energy checks to small businesses and not-for-profit groups. These checks help these organizations make smart energy choices and save energy.
NYSERDA Transportation Programs,The New York State Energy Research and Development Authority (NYSERDA) helps transportation businesses save money on energy.
Property Tax Exemption for Non Profits,Organizations can get a full or partial cut in property taxes if they use the property for certain not-for-profit purposes.
Qualified Emerging Technology Company Certification and Capital Tax Credit,The Qualified Emerging Technology Company (QETC) Certification and Capital Tax Credit gives a tax credit to some businesses.
Qualified Emerging Technology Company Employment Credit,This credit rewards companies for creating jobs.
Relocation and Employment Assistance Program,"The Relocation and Employment Assistance Program (REAP) helps businesses. It gives income tax credits for moving jobs to certain areas in New York City. If your business moves jobs from outside New York City or below 96th Street in Manhattan to areas above 96th Street or other boroughs, you can apply."
SBA 7(a) Loan Program,The U.S. Small Business Administration (SBA) offers 7(a) loans. These loans help small businesses. Commercial lenders give these loans.
SBA CDC / 504 Loan Program,The U.S. Small Business Administration (SBA) 504 loan program helps small businesses get money for new assets. These loans can be used for:
Small Business Commercial Direct Install,The Small Business Commercial Direct Install (CDI) program helps small businesses save energy. Con Edison runs this program.
Small Business Health Care Tax Credit,"The Small Business Health Care Tax Credit helps small businesses that give health care coverage to their workers. This credit is for businesses with fewer than 25 full-time workers with average wages under $50,000 a year."
Solar Electric Generating Systems Tax Abatement Program,The Solar Electric Generating Systems Tax Abatement program helps people save money on taxes who build a solar electric generating system in their homes or businesses in New York City. This program is part of the City's plan to be more sustainable. It provides an incentive for building owners to use cleaner power and cut down on pollution.
State Minority- and Women- Owned Business Enterprise Program,"The Minority- and Women-Owned Business Enterprise Program (MWBE) helps businesses owned by women and/or minorities in New York State. If you own, run and control a business as a woman or minority, you can join this program. The program gives these businesses priority for state government contracts."
Trade Adjustment Assistance Grant Program,"The Trade Adjustment Assistance Grant helps businesses impacted by foreign competition. It is for manufacturers or service firms in New York, New Jersey or Puerto Rico."
Work Opportunity Tax Credit,"The Work Opportunity Tax Credit (WOTC) is a federal tax credit. It gives employers up to $9,600 for hiring people from certain groups."
Workers with Disabilities Employment Tax Credit,This tax credit helps employers hire people with disabilities.
Boiler Permit,All boilers in New York City must be inspected and certified by the Department of Buildings Boiler Unit.
Food Safety and Inspection Regulations,"The federal government has rules for food safety covering the making and selling of food. Businesses must follow City, State and federal rules."
Hazardous Chemicals Inspection,The Fire Department of New York (FDNY) inspects for the proper storage of hazardous chemicals in New York City. These checks help keep people and buildings safe from fires caused by these chemicals.
Inspections and Testing,"The Fire Department of New York (FDNY) inspects buildings and other places in New York City. They do this to make sure that code, laws, rules or regulations are being enforced to keep the public safe."
Permanent Amusement Ride Installation and Inspections,"All amusement rides in New York City, like ferris wheels and carousels, must be inspected by the Department of Buildings (DOB). They also need a license from the Department of Consumer and Worker Protection (DCWP)."
Petroleum Measuring Devices Inspection,All devices that measure petroleum at a business must be tested and sealed. This includes:
Weighing and Measuring Devices / Inspections,The New York City (NYC) Department of Consumer and Worker Protection (DCWP) inspects scales at businesses. They make sure the scales are correct. You can ask for a scale check online or by calling 311.
Weights and Measures / Gasoline and Home Heating Oil Delivery Truck Meters,New York State and New York City have laws about weights and measures. These laws say items must be sold by their true weight or measure. The NYC Department of Consumer and Worker Protection (DCWP) inspects scales and measuring devices. This includes gas pumps and home heating oil delivery truck meters. They make sure these devices work correctly.
Weights and Measures / Retail Gas Stations,New York State and New York City have laws about weights and measures. These laws make sure items are sold by their true weight or size. The NYC Department of Consumer and Worker Protection (DCWP) inspects gas stations every year. They also look into customer complaints to make sure the laws are followed.
"Accident and Health Insurance License, Domestic",This license allows an insurer to conduct accident and health insurance business in New York State.
"Accident and Health Insurance License, Foreign",Businesses from outside New York State need this license to provide accident and health coverage in New York.
Appearance Enhancement Business or Area Renter License,"If you run a beauty business, you need a special license from the New York State Department of State (NYSDOS). This license is different from those for styling hair, doing manicures and other services."
Application for Permission to Disburse Net Proceeds of Bingo,"Nonprofit groups in New York State need permission to use money from bingo games, and they must have a license from the New York State Gaming Commission."
Application for Permission to Disburse Net Proceeds of Games of Chance,"Nonprofit groups need permission to use money from games of chance, and they must have a license from the New York State Gaming Commission."
Article 43 Corporation License (Non-Profit Health Service Corporation),"In New York State, health maintenance organizations (HMOs) and nonprofit health insurance companies need this license."
Assisted Living Residence (ALR) License,You need an Assisted Living Residence (ALR) License if your business provides certain care services. The New York State Department of Health (NYSDOH) issues this license.
Authority to Transport Household Goods,This license allows businesses move household items in New York State.
Authority to Transport Property (Except Household Goods),Businesses need this permit to transport property that is not considered a household good. Household goods are things like:
Bait License,A Bait License lets you harvest and sell certain fish and water insects as bait. The New York State Department of Environmental Conservation (DEC) gives these licenses.
Ball Park / Stadium Beer License,"Businesses need a Ball Park/Stadium Beer License to sell beer at ballparks, stadiums, racetracks and arenas. The New York State Liquor Authority (SLA) gives this license."
Barber Shop Owner or Area Renter License,"The Barber Shop Owner or Area Renter License lets you own, control or run a barber shop. The New York State Department of State (NYSDOS) gives out these licenses."
Bathing Establishment with Pool (Annual & Seasonal),"You need a permit to install, run or build any pool in New York City. This rule comes from the Department of Health and Mental Hygiene. This includes pools owned by City agencies, businesses or private groups. Examples are:"
"Bathing Establishment without Pool (Steam Room, Sauna and Spray Ground)","You need a permit to run a bathing place without a pool in New York City. This includes steam rooms, saunas and spray grounds."
Black Car Base License,The New York Taxi and Limousine Commission (TLC) offers a black car base license. This is required if you want to run a business that offers rides in New York City. This is needed for any business that sends cars to pick up people. Your base must have a TLC license to offer rides in New York City. All cars and drivers linked to your base must also have the right licenses from the TLC.
Black Car Vehicle License,The New York City Taxi and Limousine Commission (TLC) issues a black car vehicle license. You need this license to use a car for for-hire rides in New York City.
Body Damage Estimator License,"If your business assesses the cost of car body damage, you need a license from the New York State Department of Motor Vehicles (DMV)."
Booting Company License,The New York City Department of Consumer and Worker Protection (DCWP) issues a booting company license. This is needed for any business that will put a device on a parked car to stop it from moving.
Cabaret Liquor License,"If your business has musical entertainment for more than 600 people, you need a Cabaret Liquor License to serve alcohol. The New York State Liquor Authority (NYSLA) issues this license."
Captive Insurance Company License,Your business can create a company to insure your risks. You need a license from the New York State Department of Financial Services (DFS).
Car Wash License,The New York City Department of Consumer and Worker Protection(DCWP) offers a car wash license.
Catering Establishment (Liquor) License,"If your business caters private events at their place of business and serves alcohol, you need a Catering Establishment License from the State Liquor Authority (SLA)."
Check Casher License,Your business needs a license to cash checks in New York State. This license comes from the New York State (NYS) Department of Financial Services (DFS).
Coin Processing License,"If you or your business processes or exchanges coins, you need a license from the New York State Department of State (NYSDOS)."
Combo Garage and Parking Lot License,The New York City Department of Consumer and Worker Protection (DCWP) offers a license for combo garage and parking lot.
Commercial Lessor License,The New York City Department of Consumer and Worker Protection (DCWP) issues a license for commercial lessors. This is needed if your business will rent space to nonprofit groups for charitable games such as bingo and games of chance.
Commuter Van Base,"The New York City Taxi and Limousine Commission (TLC) gives licenses to businesses to run commuter vans. These vans drive people around New York City. They can carry between 9 and 20 passengers. The vans follow a set schedule. They travel between homes and places such as work, transit stations, shopping centers or recreation areas."
Commuter Van Vehicle License,A commuter van is a vehicle that can seat 9 to 20 people. The NYC Taxi and Limousine Commission (TLC) gives licenses to these vans. They can carry passengers for-hire in an Authorized Commuter Van Service.
Controlled Substance Activity License,"If your business makes, sells or uses controlled substances, you need a license from the New York State Department of Health (NYSDOH)."
Cooperative Insurance Company License,Cooperative insurance companies need this license to work in New York State. Contact the Department of Financial Services for more details.
Dealer in Products for the Disabled License,"The New York City Department of Consumer and Worker Protection (DCWP) offers a license for dealing in products for the disabled. This license is needed if you sell, rent, fix or adjust any device for the disabled. This covers braces, crutches and wheelchairs."
Debt Collection Agency License,"The New York City Department of Consumer and Worker Protection (DCWP) gives the Debt Collection Agency License. If your business collects or tries to collect personal or household debts from New York City residents, you need this license. This rule applies even if your business is outside New York State."
Driving School License,Driving schools in New York State need a license from the New York State Department of Motor Vehicles (DMV). This license lets schools:
Drug Store Off-Premise Beer / Wine Products License,"If your drug store wants to sell beer, cider or wine, you need a special license from the New York State Liquor Authority (SLA)."
Drug Store Off-Premise Beer License,"If your drug store wants to sell beer, you need a Drug Store Off-Premise Beer License from the New York State Liquor Authority (SLA)."
Eating Place Beer License,You need an Eating Place Beer License to sell beer and cider at your restaurant. This license does not let you sell wine or liquor. The New York State Liquor Authority (SLA) gives this license.
Electronic & Home Appliance Service Dealer License,You need an Electronic & Home Appliance Service Dealer license to fix or service electronic items and home appliances. This also includes off-site repairs. The New York City Department of Consumer and Worker Protection (DCWP) gives this license.
Electronic Cigarette Retail Dealer License,You need a license to sell electronic cigarettes. The New York City Department of Consumer and Worker Protection (DCWP) gives this license.
Electronics Store License,"You need an Electronics Store License if you sell electronic goods. This includes cell phones, tablets, audio equipment, video equipment, photographic equipment, computers or computer equipment, and calculators."
Employment Agency License,You need an Employment Agency License to help people find jobs for a fee. This includes helping employers find workers. The New York City Department of Consumer and Worker Protection (DCWP) gives this license.
Excess Line Broker License (Entity),A business needs this license to buy insurance from companies not licensed in New York State.
Exhibiting Exotic Animals,"You need a permit to exhibit or use any animal in New York City for business. This includes animals in theatrical performances, circuses or wildlife rehabilitator demonstrations."
Farm Winery License,A Farm Winery License lets you make and sell wine where you grow the fruit. The New York State Liquor Authority (SLA) gives this license.
Federal Firearms License,"Businesses that want to sell or make guns or bullets in the United States need a Federal Firearms License. The Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) issues out this license."
Fill Material Operation,"You need a Fill Material Operation Permit to do landfilling, grading, land improvements or changing property grades by adding fill material. The New York City Department of Sanitation (DSNY) gives this permit for construction projects in New York City."
Financial Guaranty Insurance Corporation,This license allows the organization of a domestic stock financial guaranty insurance company in New York State.
Firearm Dealer's License,You need a Firearms Dealer License to sell handguns or ammunition in New York City.
Food Processing Establishment License,Any business that sells packaged foods that are ready to eat needs a Food Processing Establishment License from the New York State Department of Agriculture and Markets.
Fraternal Benefit Society Admission License,This license lets a fraternal benefit society run an insurance business. The business can offer:
"Frozen Desserts, License to Handle Wholesale",You need this license to sell or give out frozen desserts in New York State. The New York State Department of Agriculture and Markets gives this license.
"Frozen Desserts, License to Manufacture Wholesale",You need this license to make frozen desserts in New York State. The New York State Department of Agriculture and Markets gives this license.
Games of Chance License,"The New York City Department of Consumer and Worker Protection (DCWP) issues a Games of Chance License. You need this license to run games where prizes are given based on chance. This is based on designated numbers, colors or symbols. Only certain groups can get this license. These groups include religious groups, charity groups, veterans' groups and volunteer firefighter groups."
Garage License,"You need a Garage License if your business holds five or more vehicles in a closed space. You must charge a fee, either directly or indirectly. The New York City Department of Consumer and Worker Protection (DCWP) gives out this license."
General Insurance Consultant License,You need a license to look at insurance policies for money. You also need a license to give advice about insurance.
General Vendor Distributor License,"You need a General Vendor Distributor License if you use motor vehicles to move goods to public places. These places include sidewalks, streets or plazas. This license lets you sell to a general vendor. The New York City Department of Consumer and Worker Protection (DCWP) gives this license."
General Vendor License,"You need a General Vendor License to sell, lease or offer goods or services in a public space that is not a store."
Grocery and Drug Store Beer and Wine Product License,"If you own a grocery or drug store in New York State and want to sell beer, cider or wine, you need a special license. The New York State Liquor Authority (SLA) issues these licenses. You can get the Grocery and Drug Store Beer/Wine Products License or the Grocery Store Beer/Wine Products License."
Grocery Store Beer License,"If you want to sell beer in a grocery store in New York State, you need the Grocery Store Beer License. The New York State Liquor Authority (SLA) gives out this license."
Group Family Day Care License,Group Family Day Care is child care in a family home on a regular basis. It lasts more than three hours per day per child. This care can include:
Home Improvement Contractor License,"You need a Home Improvement Contractor License to do construction, repair, remodeling or other home improvement work to any residential land or building in New York City. This includes work such as building, replacing or fixing of basements, driveways, fences, garages, landscaping, patios, porches, sidewalks, swimming pools and terraces or any other improvements to structures or land next to a home or apartment building."
Home Inspector License,Home inspectors need a license from the New York State Department of State (NYSDOS).
Horse Drawn Cab Owner License,The New York City Department of Consumer and Worker Protection (DCWP) offers a license for horse-drawn cab owners.
Horse Racing License,"If you want to participate in a horse race in New York State, you need a license. The New York State Gaming Commission gives these licenses."
Independent Adjuster License,"In New York State, you need a license to investigate and adjust insurance claims. For more information, contact the New York State Department of Financial Services (NYS DFS)."
Industrial Laundry Delivery License,You need an Industrial Laundry Delivery License if your business moves certain laundry.
Industrial Laundry License,"A business needs an Industrial Laundry License if it provides laundry services to other businesses like hotels, hospitals, restaurants, gyms and retail laundries, or runs a laundry service in connection with any commercial business, such as a hotel, restaurant or gym."
"Inspection Station License, Official Business Certificate",The New York State DMV issues licenses to inspection stations. These stations check motor vehicles to make sure they are safe and meet emissions rules.
License for Waste Removal,"You need a Trade Waste Removal License for your business to remove, collect or dispose trade waste from businesses in New York City. Trade waste includes regular waste, organic waste, recyclable materials, medical waste and waste materials resulting from building demolition, construction, alteration or excavation. The license lasts for two years."
License to Conduct Bingo Games,"Nonprofit groups need a license to conduct bingo games. They must register with the New York State Gaming Commission. After signing up, they must get a license from the New York City Department of Consumer Affairs."
License to Conduct Games of Chance,"Nonprofit groups need a license to run games of chance. First, they must register with the New York State Gaming Commission. After that, they need a license from the New York City Department of Consumer and Worker Protection (DCWP)."
Licensed Lender,This license lets lenders charge interest rates higher than those normally permitted by law.
Life Insurance Consultant License,"In New York State, you need a license to be a life insurance consultant. A consultant provides expert and professional advice on insurance. Licensed consultants cannot sell, solicit or negotiate an insurance policy, as to do so would require licensing as an agent or broker."
"Life, Accident and Health Insurance Agent License","In New York State, you need a special license to sell life and health insurance."
"Life, Accident and Health Insurance Broker License",People and companies need this license to conduct transactions involving life or health insurance.
Limited Agent License,Businesses that rent certain items need this license to offer insurance for the items rented.
Liquor Store License,"The Liquor Store License lets businesses sell cider, liquor and wine to take home. The New York State Liquor Authority (SLA) gives this license."
Livery Car Base License,The City Taxi and Limousine Commission (TLC) gives licenses to new livery bases.
Livery Car Vehicle License,A livery vehicle is a car licensed by the Taxi and Limousine Commission (TLC).
Lottery Agent License,This license lets a store sell New York State Lottery tickets. You must be 18 or older to buy a ticket.
Luxury Limo  Base License,The City Taxi and Limousine Commission (TLC) gives licenses to businesses that run luxury limos. A Luxury Limo Base uses a radio or other system to send information to drivers of TLC-licensed luxury limos.
Luxury Limo  Vehicle License,A luxury limousine is a for-hire vehicle.
Manufacturing of Frozen Desserts - Retail,"If you manufacture, process, assemble, freeze or store frozen desserts for distribution or sale to consumers, you need a permit. This permit is from the Department of Health and Mental Hygiene (DOHMH). You need this permit along with any other food permits."
Medallion Broker,A taxicab broker helps transfer a taxi license (medallion). This can be a person or a business.
"Medallion Owner, Corporation","Medallion owners have a special license. This license lets you own a car that the Taxi and Limousine Commission (TLC) approves for use as a taxi. Only medallion taxicabs can pick up people who hail them on the street, anywhere in the City. The number of medallions in the City is limited by State law. However, you can transfer a medallion by law and resell it."
Milk Dealer License,"You need a Milk Dealer License to sell, distribute or process unpasteurized milk. The New York State Department of Agriculture and Markets issues this license."
Mobile Food Vending License,The Mobile Food Vending License lets you make and sell food from a truck or pushcart. The Department of Health and Mental Hygiene (DOHMH) gives this license as a photo ID badge. There are no waiting lists to apply for this license.
"Money Transmitter, License to be a","Businesses that sell or issue ways to pay, or send and receive money by wire transfer, need a Money Transmitter License. This license comes from the New York State Department of Financial Services (DFS)."
Mortgage Guaranty Insurance Company License,Companies that sell mortgage guaranty insurance need a license in New York State. There are different licenses for companies in New York and those outside New York.
Mortgage Loan Originator License,"If you provide information for mortgage loans in New York State, you need a Mortgage Loan Originator License. The New York State Department of Financial Services (DFS) gives out these licenses."
Mutual Property / Casualty Insurance License,Businesses that sell mutual property or casualty insurance in New York State need a license. You need a separate license if your business is based outside New York State.
Newsstand License,"You need a Newsstand License to run a stand on a public sidewalk. This stand is not easy to move. It is mainly for selling newspapers and magazines. You can also sell cigarettes, lottery tickets and snacks if you have the right permits."
On Premises Liquor License,"This license lets you sell liquor, wine, cider and beer at your restaurant, tavern, nightclub, theater or other place. The New York State Liquor Authority (SLA) gives this license."
Operate a Bathing Beach,All bathing beaches in New York City need a Permit to Operate a Bathing Beach issued by the New York City Department of Health and Mental Hygiene (DOHMH).
Operating a Commercial Stable,"If you keep horses for a fee, you need a permit from the Department of Health and Mental Hygiene (DOHMH). It does not matter if the horses are private or rented (such as for riding lessons or for use with horse-drawn carriages)."
Paratransit Base License,"If you want to help people in wheelchairs, you need a Paratransit Base License. Paratransit vehicles are wheelchair-accessible vans. These vans help people who use wheelchairs or need special help in New York City. They have lifts or ramps to help people get in and out."
Paratransit Vehicle License,"To drive a Paratransit vehicle in New York City, you need a Paratransit Vehicle License. This license is for vehicles that help people in wheelchairs get around. The Taxi and Limousine Commission (TLC) gives out these licenses."
Parking Lot License,"You need a Parking Lot License if your business can hold five or more cars in an open, unenclosed space and charges a fee or other payment either directly or indirectly. The New York City Department of Consumer and Worker Protection (DCWP) gives out this license."
Pawnbroker License,"The New York City Department of Consumer and Worker Protection (DCWP) gives out the pawnbroker license. A pawnbroker, also called a ""collateral loan broker,"" is a person, partnership or company that loans money on personal items or buys personal items and sells them back at a set price. This is defined in New York State General Business Law (GBL) §52."
Pedicab Business License,The New York City Department of Consumer and Worker Protection (DCWP) offers a license for pedicab businesses.
Performing Work on a Landmarked Property,"If you own a landmark or a building in a designated historic district in New York City, you need a permit from the Landmarks Preservation Commission (LPC) before doing any work. You also need a permit from LPC for any work that needs a permit from the Department of Buildings (DOB)."
"Pet Cemetery and Pet Crematorium, License to Operate a",This license lets you run a pet cemetery or pet crematorium in New York State. The New York State Department of State (NYSDOS) gives out this license.
Pet Dealer License,"If you sell more than nine dogs or cats each year, you need a Pet Dealer License. The New York State Department of Agriculture and Markets gives out this license."
Petting Zoos,"If you want to run a petting zoo in New York City, you need a permit from the Department of Health and Mental Hygiene (DOHMH) Office of Veterinary Public Health Services (VPHS)."
Private Community Sewage Disposal System,You need this permit to build and run private sewage systems in subdivision realty developments with 15 or more homes.
Private Investigator Branch Office License,Branch offices for private investigators need their own licenses. The New York State Department of State (NYSDOS) gives these licenses.
Process Serving Agency License,"You need a Process Serving Agency License if you or your business assigns, distributes or delivers process to another for actual service. The New York City Department of Consumer and Worker Protection (DCWP) gives this license."
Property / Casualty Insurance Agents and Brokers,"To sell or manage property insurance in New York State, you need a license. There are two types of licenses:"
Public Adjuster License,"If you want to negotiate settlements for people with fire damage claims, you need a public adjuster license."
Radioactive Materials License,Businesses that use radioactive materials need a license. This license comes from the New York State Department of Health (DOH). These materials can be used for business or science.
Radiological Materials Licensing,"The New York City Department of Health and Mental Hygiene (DOHMH) controls the possession and use of radioactive material in New York City. The DOHMH does this for the United States Nuclear Regulatory Commission. The DOHMH Office of Radiological Health checks and licenses materials for medical, academic and research use in the City."
Raw Milk Dealer License,Dairy farmers need a Raw Milk Dealer License to sell raw milk. The New York State Department of Agriculture and Markets gives this license.
"Real Estate Branch Office, License to Operate a",This permit lets a real estate broker run a branch office. Each branch office needs its own permit.
Reciprocal Insurance License,Businesses in a reciprocal insurance arrangement need a license. There are different licenses for businesses inside and outside New York State.
Reinsurance Intermediary License,"If you sell or negotiate reinsurance contracts, you need a license. This rule is for both businesses and individuals. Each must have a separate license."
Restaurant Wine License,The State Liquor Authority (SLA) gives this license to restaurants. It lets them sell wine and beer. They cannot sell liquor. Customers can drink these on the premises.
Retail Food Store License,"If you sell food for people to take home, you need a Retail Food Store License. This includes selling foods like milk, eggs and meat. The New York State Department of Agriculture and Markets gives out this license."
Rifle / Shotgun Dealer License,"A Rifle / Shotgun Dealer's License is needed for any business that sells rifles, shotguns or ammunition in New York City."
Sale of Small Animals (Pet Shops),"Pet shops that sell animals need a permit from the NYC Department of Health and Mental Hygiene (DOHMH). Starting December 15, 2024, pet shops cannot sell dogs or cats."
Scale Dealer or Repairer License,"You need a Scale Dealer or Repairer license to trade, sell, receive or repair used weighing or measuring devices. The New York City Department of Consumer and Worker Protection (DCWP) gives this license."
Scrap Metal Processor License,"You need a Scrap Metal Processor license to run a business that buys, processes and ships scrap metal. This includes both ferrous and non-ferrous scrap. The New York City Department of Consumer and Worker Protection (DCWP) issues this license."
Secondhand Dealer Auto License,A Secondhand Dealer Auto license is required to buy or sell secondhand automobiles. The New York City Department of Consumer and Worker Protection (DCWP) issues this license.
Secondhand Dealer General License,"If you buy or sell used goods in New York City, you need a Secondhand Dealer General license. This does not include cars. The New York City Department of Consumer and Worker Protection (DCWP) gives out this license."
Sightseeing Bus License,The New York City Department of Consumer and Worker Protection (DCWP) issues a license for sightseeing buses. You need this license to drive a bus with eight or more paying passengers. This includes trips to places of interest or amusement or special trips starting in New York City.
Slaughterhouse License - Poultry/Small Animals,"If you sell domestic animals or birds, you need a Slaughterhouse License from the New York State Department of Agriculture and Markets."
Small Arms Firing Range Designation,"If you want to run a small arms firing range in New York City, you need a Small Arms Firing Range Permit. The New York City Police Department gives out these permits."
Stoop Line Stand License,"You need a Stoop Line Stand license to sell fruits, vegetables, soft drinks, flowers, candy or ice cream from a stand outside and next to your store. The New York City Department of Consumer and Worker Protection (DCWP) issues this license."
Storage Warehouse License,You need a Storage Warehouse License if your business stores people's household goods for a fee. You need a separate license for each place that your stores these goods. Self-storage businesses do not need this license. The New York City Department of Consumer and Worker Protection (DCWP) gives out this license.
"Summer, Day, Overnight, Traveling or Municipal Camps for Children",You must send new permit and renewal applications to the NYC Department of Health and Mental Hygiene. Do this at least 90 days before the camp opens.
Tavern Wine License,This license lets you sell wine and beer for people to drink at your place. You cannot sell liquor with this license. Your place must not be a full restaurant with a full kitchen. The New York State Liquor Authority (SLA) gives this license.
Taxi Meter Shop License,You need a Taxi Meter Shop Business License if your company works with taxi meters for New York City Medallion Cabs.
Taxicab License Transfer Tax,"If you sell a taxicab license, the buyer must pay the transfer tax. If the buyer does not pay, the seller must pay the tax."
Temporary Amusement Rides,"The City inspects and licenses amusement rides at street fairs, block parties and special events. This is to ensure the safety of operators and riders. All amusement rides must pass a check by the Department of Buildings (DOB) before use. Examples of rides are:"
"Ticket Reseller Branch Office, License to Operate a",Ticket resellers need a license to run branch offices. This license comes from the New York State Department of State (NYSDOS).
Ticket Reseller License,"Businesses that resell tickets, people who resell tickets, and websites that resell tickets need a license from the New York State Department of State (NYSDOS)."
Ticket Seller Business License,"You need a Ticket Seller Business license to sell, give or transfer any ticket to a person or company for them to sell in a public space. The New York City Department of Consumer and Worker Protection (DCWP) gives out this license."
Tissue Bank Operation License,"Facilities need a Tissue Bank Operating License to test, preserve or handle human tissue. This license is from the Wadsworth Center at the New York State Department of Health."
Tobacco Retail Dealer License,The New York City Department of Consumer and Worker Protection (DCWP) offers a license for tobacco retail dealers. You need this license to sell cigarettes or tobacco products to people.
Tow Truck Company License,"You need a Tow Truck Company License if your business moves or removes disabled cars, illegally parked cars, abandoned cars or cars in accidents. The New York City Department of Consumer and Worker Protection (DCWP) issues this license."
Trade Association Application,You need a Trade Association Registration to work in a New York City public wholesale market. This group should help manage or promote the market or businesses in the market.
Warehouse (Food) License,You need a Warehouse (Food) License to store food for commercial distribution. The New York State Department of Agriculture and Markets gives this license.
Warehouse/Locker Plant (Refrigerated) License,"If you rent cold storage space for food, you need a license. This license is from the New York State Department of Agriculture and Markets."
"Watch, Guard, or Patrol Agency License","If you want to run a security service business in New York, you need a license. This includes watch, guard and patrol agencies. The New York State Department of State (NYSDOS) gives out these licenses. You can get a license as a person or for your business."
Wholesale Cigarette Dealer Other Than Those Who Only Operate Vending Machines License,You need this license to sell cigarettes and tobacco products in bulk. The New York State Department of Taxation and Finance (DTF) gives out this license.
Wholesale Cigarette Dealer Who Only Operates Vending Machines License,You need this license if you sell cigarettes and tobacco products to vending machine operators. The New York State Department of Taxation and Finance (DTF) gives out this license. One license covers all of your business locations.
Wholesale Cigarette License,The City Finance Department gives licenses to wholesale cigarette dealers. There are three types of dealers:
Wine Store License,This license lets businesses sell wine to take home. It does not cover liquor or beer. The New York State Liquor Authority (SLA) gives this license.
Acupuncture Professional License,"If you want to do acupuncture in New York, you need a license from the New York State Education Department (NYSED)."
Apartment Sharing Agent,"If you help people find roommates, you need a license from the New York State Department of State (NYSDOS)."
Architect License,Architects need a license from the New York State Education Department (NYSED). The license requirements depend on your education and your supervised architectural work experience.
Asbestos Handling License,Businesses that work with asbestos need a license from the New York State Department of Labor.
Attorney/Legal Information,"To be an attorney in New York State, you must pass the Bar Exam. You need to have completed at least some formal legal studies to take the Bar Exam."
Audiologist Professional License,Audiologists and speech-language pathologists need licenses from the New York State Education Department (NYSED).
Bail Bond Agent License,You need a Bail Bond Agent License to write bail bonds for an insurer. The New York State Department of Financial Services (DFS) gives this license.
Barber (Master) License,A Master Barber License lets you work as a barber. This license is from the New York State Department of State (NYSDOS).
Barber Apprentice License,A Barber Apprentice License lets you work and train with a licensed barber. The New York State Department of State (NYSDOS) gives this license.
Bingo Game Operator License,The New York City Department of Consumer and Worker Protection (DCWP) offers a license for bingo game operators. This license is needed for any nonprofit group that wants to run bingo games. For-profit groups cannot get this license. Bingo games involve matching numbers or symbols on a card with those chosen at random. Winners get prizes.
Budget Planner's License,"In New York State, budget planners need a license from the New York State (NYS) Department of Financial Services (DFS). Budget planners help people pay off their debt by making contracts with clients."
Certified Public Accountancy Professional License,"Accountants, including Certified Public Accountants (CPAs), must be licensed to practice in New York State. The New York State Education Department (NYSED) gives out these licenses. You need this license to call yourself a CPA."
Class A Photo Identification,You need a Class A Photo Identification card to work at the New Fulton Fish Market. These cards do not expire.
Class B Photo Identification,You need a Class B Photo Identification card to work at the New Fulton Fish Market or other markets that the Business Integrity Commission regulates. These cards do not expire.
Clinical Laboratory Technician Professional License,"To work as a clinical laboratory technician in New York State, you need a license from the New York State Education Department (NYSED)."
Clinical Laboratory Technologist Professional License,"To work in a clinical lab in New York State, you need a license from the New York State Education Department (NYSED). This license lets you test blood and body fluids."
Commercial Driver License,"In New York State, you need a Commercial Driver License (CDL) to drive a truck or other commercial vehicle. The New York State Department of Motor Vehicles (DMV) issues the CDL. Before you can apply for a CDL, you must have a regular driver's license."
